ID,FoodGroup,Descrip,CommonName,MfgName,ScientificName,Energy_kcal,Protein_g,Fat_g,Carb_g,Sugar_g,Fiber_g,VitA_mcg,VitB6_mg,VitB12_mcg,VitC_mg,VitE_mg,Folate_mcg,Niacin_mg,Riboflavin_mg,Thiamin_mg,Calcium_mg,Copper_mcg,Iron_mg,Magnesium_mg,Manganese_mg,Phosphorus_mg,Selenium_mcg,Zinc_mg
6405,"Soups, Sauces, and Gravies","CAMPBELL'S CHUNKY, HEALTHY REQUEST Chicken Noodle Soup",No name,Campbell Soup Co.,No name,41.0,2.97,0.97,5.88,1.12,0.8,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.34,8.0,0.0,36.0,0.0,0.47
9128,Fruits and Fruit Juices,"Grapefruit juice, white, raw",No name,No name,No name,39.0,0.5,0.1,9.2,9.1,0.1,1.0,0.044,0.0,38.0,0.22,10.0,0.2,0.02,0.04,9.0,0.033,0.2,12.0,0.02,15.0,0.1,0.05
21435,Fast Foods,"KFC, Fried Chicken, ORIGINAL RECIPE, Drumstick, meat and skin with breading",KFC,Kentucky Fried Chicken,No name,239.0,22.3,14.22,5.39,0.0,0.0,0.0,0.221,0.54,0.0,0.0,0.0,4.993,0.213,0.041,29.0,0.08,0.97,23.0,0.135,211.0,25.5,1.96
16570,Legumes and Legume Products,"GARDENBURGER Black Bean Chipotle Burger, frozen, unprepared",No name,"Kellogg, Co.",No name,149.0,6.5,3.9,22.0,3.6,6.1,0.0,0.1,0.0,0.0,0.0,31.0,0.9,0.0,0.1,49.0,0.0,2.4,42.0,0.0,110.0,0.0,0.7
14621,Beverages,"V8 V. FUSION Juices, Strawberry Banana",No name,Campbell Soup Co.,No name,49.0,0.41,0.0,11.79,10.16,0.0,0.0,0.016,0.0,24.4,0.55,0.0,0.0,0.0,0.0,8.0,0.0,0.15,7.0,0.0,0.0,0.0,0.0
16420,Legumes and Legume Products,"Soy protein concentrate, produced by acid wash",No name,No name,No name,331.0,58.13,0.46,30.91,20.0,5.5,0.0,0.134,0.0,0.0,0.0,340.0,0.716,0.142,0.316,363.0,0.976,10.78,140.0,4.19,839.0,0.8,4.4
21313,Fast Foods,"McDONALD'S, Hot Mustard Sauce",No name,McDonald's Corporation,No name,190.0,2.6,7.31,29.08,21.76,5.0,0.0,0.06,0.23,0.0,0.86,0.0,0.402,0.056,0.048,32.0,0.037000000000000005,0.86,24.0,0.22,57.0,0.0,0.36
21426,Fast Foods,"KFC, Fried Chicken, ORIGINAL RECIPE, Drumstick, meat only, skin and breading removed",KFC,Kentucky Fried Chicken,No name,175.0,26.3,7.66,0.11,0.0,0.0,0.0,0.248,0.64,0.0,0.0,0.0,5.277,0.264,0.05,16.0,0.083,1.04,23.0,0.056,223.0,30.9,2.5
28076,Baked Products,"KEEBLER, FUDGE SHOPPE, Cheesecake Middles, Dark Chocolate",No name,"Kellogg, Co.",No name,506.0,4.4,26.5,64.7,33.7,4.1,0.0,0.0,0.0,0.0,0.0,0.0,1.7,0.12,0.22,0.0,0.0,3.5,24.0,0.0,41.0,0.0,0.1
20068,Cereal Grains and Pasta,"Tapioca, pearl, dry",No name,No name,No name,358.0,0.19,0.02,88.69,3.35,0.9,0.0,0.008,0.0,0.0,0.0,4.0,0.0,0.0,0.004,20.0,0.02,1.58,1.0,0.11,7.0,0.8,0.12
